study_code,mcb_pct,oi,agr
SP001,62.98,0.1531,0.0063
SP002,71.75,0.2088,-0.0967
SP003,58.52,0.1818,0.0542
SP004,59.01,0.1677,0.0471
SP005,39.77,0.3369,-0.0432
SP006,65.17,0.1788,-0.0126
SP007,60.18,0.1909,-0.0003
SP008,61.11,0.1677,0.0664
SP009,62.02,0.1848,0.0307
SP010,33.14,0.2996,-0.0051
SP011,32.22,0.2909,-0.0427
SP012,59.08,0.1677,-0.0044
SP013,60.0,0.2909,-0.0622
SP014,49.32,0.2304,-0.0385
SP015,66.8,0.2054,-0.0299
SP016,73.18,0.1338,0.063
SP017,32.22,0.1483,0.0622
SP018,77.47,0.1677,0.0383
SP019,18.7,0.3887,-0.1106
SP020,45.22,0.2448,-0.0686
SP021,59.24,0.097,0.0866
SP022,60.03,0.165,0.0174
SP023,48.42,0.2812,-0.0116
SP024,73.96,0.097,0.0901
SP025,59.24,0.097,0.0815
SP026,17.3,0.4084,-0.0807
SP027,36.78,0.1705,0.0079
SP028,71.96,0.1623,0.0389
SP029,66.24,0.165,0.0224
SP030,53.83,0.1531,0.0169
SP031,31.69,0.4091,-0.1178
SP032,65.06,0.1115,0.0572
SP033,31.29,0.4773,-0.1422
SP034,35.15,0.1483,-0.0449
SP035,38.63,0.3154,-0.081
SP036,33.94,0.2611,-0.0738
SP037,58.37,0.2156,0.0519
SP038,23.24,0.47,-0.1387
SP039,29.23,0.5174,-0.117
SP040,59.24,0.1133,0.0784
SP041,61.78,0.0939,0.1137
SP042,33.94,0.2448,-0.0925
SP043,57.0,0.1317,0.0399
SP044,61.37,0.1507,0.0385
SP045,59.55,0.2488,0.0243
SP046,18.7,0.3614,-0.0943
SP047,71.89,0.2718,0.0141
SP048,47.08,0.2996,-0.0326
SP049,34.13,0.257,-0.0211
SP050,27.9,0.1555,-0.0013
SP051,69.14,0.2674,-0.0683
SP052,45.11,0.223,-0.0298
SP053,33.8,0.3259,-0.0461
SP054,35.15,0.1483,0.0385
SP055,56.57,0.2304,-0.0018
SP056,64.32,0.2304,0.0315
SP057,23.51,0.5025,-0.1608
SP058,26.32,0.3553,-0.0441
SP059,56.34,0.1705,0.0308
SP060,33.62,0.3491,-0.0899
SP061,75.44,0.1987,0.0297
SP062,36.61,0.4084,-0.1257
SP063,48.34,0.2861,0.0177
SP064,37.6,0.2155,-0.0783
SP065,58.67,0.2629,-0.0574
SP066,37.37,0.2304,0.0092
SP067,58.37,0.1879,0.037
SP068,58.37,0.2585,0.0295
SP069,76.49,0.1531,0.01
SP070,29.33,0.4318,-0.1102
SP071,30.04,0.2674,-0.0091
SP072,54.94,0.2674,0.0117
SP073,39.26,0.3675,-0.08
SP074,35.88,0.2529,-0.0341
SP075,56.32,0.223,0.0133
SP076,70.44,0.1507,-0.0141
SP077,66.37,0.202,0.0654
SP078,58.12,0.0782,0.0773
SP079,68.53,0.223,0.0126
SP080,51.37,0.202,0.0007
SP081,68.59,0.2304,0.0227
SP082,49.55,0.3821,-0.0446
SP083,52.71,0.2054,0.029
SP084,58.6,0.115,0.0563
SP085,63.09,0.223,-0.0208
SP086,59.83,0.1459,0.0247
SP087,52.34,0.1705,0.0523
SP088,34.94,0.3675,-0.1237
SP089,65.66,0.1435,0.0806
SP090,30.06,0.3259,-0.0898
