breed,breed_suffix,replicate_num,n_founders,n_males,n_females,total_alleles,alleles_per_locus,expected_heterozygosity,observed_heterozygosity,effective_alleles,fis,fis_global,mean_outlier_index,mean_internal_relatedness,mean_avg_genetic_relatedness
Doberman Pinscher,dp,1,200,100,100,207,6.2727,0.50792,0.48121,2.3139,0.04888,0.05258,0.229,0.05527,-0.038743
Doberman Pinscher,dp,2,200,100,100,199,6.0303,0.50902,0.50455,2.3377,0.01918,0.00879,0.23288,0.01203,-0.009485
Doberman Pinscher,dp,3,200,100,100,199,6.0303,0.50258,0.47697,2.3033,0.04494,0.05095,0.23474,0.05537,-0.041589
Doberman Pinscher,dp,4,200,100,100,194,5.8788,0.50113,0.4847,2.3039,0.03395,0.0328,0.215,0.03557,-0.027548
Doberman Pinscher,dp,5,200,100,100,194,5.8788,0.50424,0.47985,2.326,0.04959,0.04837,0.2542,0.05196,-0.037301
Doberman Pinscher,dp,6,200,100,100,183,5.5455,0.49997,0.47939,2.2991,0.03997,0.04116,0.26684,0.04378,-0.03322
Doberman Pinscher,dp,7,200,100,100,196,5.9394,0.50384,0.4803,2.3055,0.04261,0.04671,0.23762,0.05001,-0.037584
Doberman Pinscher,dp,8,200,100,100,198,6.0,0.50655,0.47879,2.3272,0.0474,0.0548,0.26076,0.05723,-0.042566
Doberman Pinscher,dp,9,200,100,100,201,6.0909,0.50274,0.48561,2.3054,0.03486,0.03409,0.24412,0.03702,-0.029017
Doberman Pinscher,dp,10,200,100,100,195,5.9091,0.5054,0.48152,2.3121,0.04884,0.04725,0.24392,0.04923,-0.037961
Doberman Pinscher,dp,11,200,100,100,198,6.0,0.50289,0.485,2.3219,0.03268,0.03557,0.2241,0.03863,-0.028395
Doberman Pinscher,dp,12,200,100,100,205,6.2121,0.50472,0.48667,2.3268,0.03202,0.03577,0.24073,0.03823,-0.029115
Doberman Pinscher,dp,13,200,100,100,189,5.7273,0.50072,0.485,2.2857,0.03039,0.0314,0.23274,0.03455,-0.023923
Doberman Pinscher,dp,14,200,100,100,208,6.303,0.50761,0.48197,2.34,0.0435,0.05051,0.22878,0.0535,-0.038675
Doberman Pinscher,dp,15,200,100,100,195,5.9091,0.50961,0.48924,2.3302,0.03506,0.03996,0.23043,0.0435,-0.034273
Doberman Pinscher,dp,16,200,100,100,205,6.2121,0.50817,0.49742,2.3362,0.01614,0.02114,0.21238,0.0242,-0.020553
Doberman Pinscher,dp,17,200,100,100,191,5.7879,0.50479,0.47879,2.3272,0.04926,0.05151,0.23903,0.0549,-0.040243
Doberman Pinscher,dp,18,200,100,100,191,5.7879,0.50462,0.48955,2.3282,0.02946,0.02987,0.23305,0.03267,-0.027321
Doberman Pinscher,dp,19,200,100,100,207,6.2727,0.50457,0.47894,2.3209,0.0462,0.05079,0.22983,0.05386,-0.041069
Doberman Pinscher,dp,20,200,100,100,201,6.0909,0.50615,0.48409,2.333,0.03669,0.04358,0.22747,0.04726,-0.034069
Doberman Pinscher,dp,21,200,100,100,196,5.9394,0.50342,0.48212,2.3158,0.04321,0.04231,0.22908,0.04568,-0.034709
Doberman Pinscher,dp,22,200,100,100,199,6.0303,0.50505,0.49152,2.3139,0.02826,0.0268,0.23244,0.02944,-0.022062
Doberman Pinscher,dp,23,200,100,100,184,5.5758,0.51019,0.49242,2.3411,0.03417,0.03482,0.23157,0.03764,-0.025876
Doberman Pinscher,dp,24,200,100,100,203,6.1515,0.50405,0.49197,2.3174,0.02602,0.02398,0.21414,0.02743,-0.021641
