breed,replicate_num,anon_id,gender,oi,ir,agr
Doberman Pinscher,1,DP0007,F,0.3049,0.038,-0.135793
Doberman Pinscher,1,DP0010,F,0.3677,0.3474,-0.300727
Doberman Pinscher,1,DP0019,M,0.2958,-0.1209,-0.118747
Doberman Pinscher,1,DP0020,M,0.2088,0.2856,-0.132401
Doberman Pinscher,1,DP0022,M,0.2267,0.1083,-0.071042
Doberman Pinscher,1,DP0028,F,0.1133,0.1637,0.021398
Doberman Pinscher,1,DP0029,M,0.223,0.1617,-0.060281
Doberman Pinscher,1,DP0030,M,0.2629,-0.2087,-0.021597
Doberman Pinscher,1,DP0036,M,0.1411,0.2172,0.021177
Doberman Pinscher,1,DP0037,F,0.2054,0.2053,-0.038908
Doberman Pinscher,1,DP0051,M,0.254,-0.1534,-0.027505
Doberman Pinscher,1,DP0053,M,0.2366,0.1339,-0.021276
Doberman Pinscher,1,DP0056,M,0.1459,0.057,0.043989
Doberman Pinscher,1,DP0059,F,0.1623,0.2307,-0.047559
Doberman Pinscher,1,DP0061,M,0.2585,-0.1895,-0.037488
Doberman Pinscher,1,DP0063,F,0.1623,0.2244,-0.004016
Doberman Pinscher,1,DP0064,M,0.3049,-0.1014,-0.030999
Doberman Pinscher,1,DP0065,M,0.2193,-0.0879,-0.001545
Doberman Pinscher,1,DP0073,M,0.5195,-0.0883,-0.240117
Doberman Pinscher,1,DP0083,M,0.2267,-0.0167,0.017071
Doberman Pinscher,1,DP0092,F,0.1788,0.1414,-0.042023
Doberman Pinscher,1,DP0094,F,0.165,-0.1097,0.063984
Doberman Pinscher,1,DP0098,F,0.1879,-0.0203,0.00479
Doberman Pinscher,1,DP0100,M,0.2996,-0.2866,0.075888
Doberman Pinscher,1,DP0112,F,0.2715,-0.1228,0.02776
Doberman Pinscher,1,DP0113,F,0.4242,-0.0006,-0.215231
Doberman Pinscher,1,DP0118,F,0.1623,0.1753,-0.037166
Doberman Pinscher,1,DP0119,F,0.2267,0.1545,-0.176223
Doberman Pinscher,1,DP0120,M,0.4318,0.03,-0.169462
Doberman Pinscher,1,DP0123,F,0.1848,0.2019,-0.05727
Doberman Pinscher,1,DP0124,F,0.1388,0.1568,0.038209
Doberman Pinscher,1,DP0131,F,0.5712,0.1672,-0.331988
Doberman Pinscher,1,DP0136,F,0.1115,0.0843,0.073836
Doberman Pinscher,1,DP0138,F,0.2325,0.0737,-0.106325
Doberman Pinscher,1,DP0148,M,0.2715,0.1779,-0.13394
Doberman Pinscher,1,DP0149,F,0.202,-0.0277,0.036594
Doberman Pinscher,1,DP0153,M,0.2488,-0.1812,0.057192
Doberman Pinscher,1,DP0158,F,0.1677,0.206,-0.041453
Doberman Pinscher,1,DP0161,F,0.3491,0.0206,-0.148005
Doberman Pinscher,1,DP0170,F,0.1705,0.2939,-0.039295
Doberman Pinscher,1,DP0171,M,0.3491,-0.1234,-0.143134
Doberman Pinscher,1,DP0177,M,0.1987,0.0746,-0.073613
Doberman Pinscher,1,DP0182,F,0.202,0.1999,-0.06915
Doberman Pinscher,1,DP0183,F,0.3154,0.1096,-0.068886
Doberman Pinscher,1,DP0185,F,0.1435,-0.0982,0.108385
Doberman Pinscher,1,DP0192,M,0.2156,-0.1155,0.054693
Doberman Pinscher,1,DP0209,M,0.2267,0.0428,-0.026093
Doberman Pinscher,1,DP0218,F,0.3352,0.3121,-0.188472
Doberman Pinscher,1,DP0220,M,0.2193,-0.1084,0.019455
Doberman Pinscher,1,DP0223,M,0.223,-0.1847,0.103006
Doberman Pinscher,1,DP0240,F,0.1705,-0.1071,0.064677
Doberman Pinscher,1,DP0251,M,0.3369,-0.0016,-0.071474
Doberman Pinscher,1,DP0254,M,0.1296,0.1232,0.018153
Doberman Pinscher,1,DP0258,M,0.3125,0.0322,-0.099878
Doberman Pinscher,1,DP0263,F,0.2156,0.2906,-0.115536
Doberman Pinscher,1,DP0265,M,0.1818,0.015,0.0194
Doberman Pinscher,1,DP0266,M,0.2496,0.2562,-0.112472
Doberman Pinscher,1,DP0270,M,0.2118,0.1485,-0.076715
Doberman Pinscher,1,DP0273,M,0.2121,0.1955,-0.119377
Doberman Pinscher,1,DP0280,F,0.2496,-0.3559,0.086206
Doberman Pinscher,1,DP0282,M,0.2996,-0.0082,-0.092787
Doberman Pinscher,1,DP0286,M,0.3006,-0.042,-0.049632
Doberman Pinscher,1,DP0290,F,0.1596,-0.1382,0.089567
Doberman Pinscher,1,DP0296,M,0.2193,-0.0385,0.007395
Doberman Pinscher,1,DP0304,F,0.2674,0.1174,-0.162504
Doberman Pinscher,1,DP0305,M,0.257,0.285,-0.123371
Doberman Pinscher,1,DP0308,M,0.254,-0.1307,-0.037775
Doberman Pinscher,1,DP0322,M,0.1531,-0.0714,0.092155
Doberman Pinscher,1,DP0328,F,0.1879,0.2401,-0.029959
Doberman Pinscher,1,DP0330,F,0.2341,-0.0492,-0.040602
Doberman Pinscher,1,DP0333,F,0.2366,0.2128,-0.077413
Doberman Pinscher,1,DP0335,F,0.1435,0.0947,0.032075
Doberman Pinscher,1,DP0340,M,0.0939,0.1971,0.047907
Doberman Pinscher,1,DP0341,F,0.2629,0.16,-0.11621
Doberman Pinscher,1,DP0347,F,0.2284,-0.2289,0.091747
Doberman Pinscher,1,DP0349,F,0.1953,0.0054,0.034567
Doberman Pinscher,1,DP0352,M,0.1079,0.4185,-0.064834
Doberman Pinscher,1,DP0353,M,0.1879,-0.0187,-0.011713
Doberman Pinscher,1,DP0356,M,0.2667,0.1347,-0.037097
Doberman Pinscher,1,DP0357,F,0.1623,-0.1769,0.084184
Doberman Pinscher,1,DP0359,M,0.2529,0.2259,-0.082403
Doberman Pinscher,1,DP0364,F,0.1296,0.0049,0.038099
