id,strategy,gen,completed_at,elapsed_seconds,avg_he,avg_ne,avg_na,avg_ho,avg_fis,avg_oi,avg_ir,band_infr,band_norm,band_hfreq,num_breeders,num_breeding_sires,breed_suffix,replicate_num,total_alleles,litter_size,sires_per_dam,sire_mode
1,OI,1,"2026-07-13 08:34:03",5.9,0.536394,2.46312,6.0909,0.53863636,-0.00461818,0.277276,-0.026892,0.59701,0.11443,0.28856,200,100,dp,1,201,10,1,random
2,OI,2,"2026-07-13 08:34:08",10.7,0.564436,2.63965,5.9697,0.56378788,0.00056061,0.286264,-0.020508,0.57868,0.1066,0.31472,200,100,dp,1,197,10,1,random
3,OI,3,"2026-07-13 08:34:12",15.5,0.593927,2.82633,5.9091,0.59030303,0.00201818,0.308418,-0.015297,0.54359,0.13846,0.31795,200,100,dp,1,195,10,1,random
4,OI,4,"2026-07-13 08:34:17",20.3,0.620188,3.0106,5.8182,0.62212121,-0.00561515,0.353204,-0.02184,0.51563,0.16667,0.31771,200,100,dp,1,192,10,1,random
5,OI,5,"2026-07-13 08:34:22",25.3,0.644048,3.20481,5.7273,0.65015152,-0.01147273,0.405136,-0.025213,0.47619,0.1746,0.34921,200,100,dp,1,189,10,1,random
6,OI,6,"2026-07-13 08:34:27",30.3,0.667494,3.4032,5.6667,0.66590909,-0.00132121,0.401108,-0.012792,0.44385,0.22995,0.3262,200,100,dp,1,187,10,1,random
7,OI,7,"2026-07-13 08:34:34",36.8,0.689809,3.60243,5.6364,0.68106061,0.01303939,0.499272,-0.000548,0.41398,0.24731,0.33871,200,100,dp,1,186,10,1,random
8,OI,8,"2026-07-13 08:34:40",43.3,0.708021,3.78748,5.6364,0.71257576,-0.00361212,0.515496,-0.017111,0.39247,0.29032,0.3172,200,100,dp,1,186,10,1,random
9,OI,9,"2026-07-13 08:34:47",49.9,0.72577,4.01444,5.6364,0.72878788,-0.0046,0.593193,-0.014026,0.36022,0.30108,0.33871,200,100,dp,1,186,10,1,random
10,OI,10,"2026-07-13 08:34:54",56.7,0.739536,4.22599,5.6364,0.74924242,-0.01329394,0.607116,-0.020475,0.3172,0.34946,0.33333,200,100,dp,1,186,10,1,random
11,OI,11,"2026-07-13 08:35:00",63.5,0.751039,4.42299,5.6364,0.75515151,-0.00609697,0.654503,-0.011072,0.30108,0.41398,0.28495,200,100,dp,1,186,10,1,random
12,OI,12,"2026-07-13 08:35:07",70.4,0.76113,4.60748,5.6364,0.76590909,-0.00607273,0.762192,-0.011013,0.26344,0.44086,0.2957,200,100,dp,1,186,10,1,random
13,OI,13,"2026-07-13 08:35:14",77.2,0.768442,4.75225,5.6364,0.77318182,-0.0062303,0.779173,-0.009198,0.22581,0.50538,0.26882,200,100,dp,1,186,10,1,random
14,OI,14,"2026-07-13 08:35:21",84.2,0.776415,4.93744,5.6364,0.77545454,0.0018303,0.836389,-0.001932,0.19355,0.62366,0.1828,200,100,dp,1,186,10,1,random
15,OI,15,"2026-07-13 08:35:28",91,0.782439,5.08276,5.6364,0.78015151,0.00301515,1.10052,0.000776,0.16129,0.68817,0.15054,200,100,dp,1,186,10,1,random
16,OI,16,"2026-07-13 08:35:35",97.8,0.786688,5.19032,5.6364,0.7869697,-0.00079091,1.25316,-0.001306,0.12903,0.72043,0.15054,200,100,dp,1,186,10,1,random
17,OI,17,"2026-07-13 08:35:42",104.6,0.790527,5.29898,5.6364,0.79454546,-0.00544849,1.20954,-0.005917,0.10753,0.80108,0.0914,200,100,dp,1,186,10,1,random
18,OI,18,"2026-07-13 08:35:48",111.5,0.792458,5.35526,5.6364,0.78924242,0.00444848,1.66821,0.004409,0.09677,0.80108,0.10215,200,100,dp,1,186,10,1,random
19,OI,19,"2026-07-13 08:35:55",118.3,0.79437,5.42729,5.6364,0.78439394,0.0128,1.5292,0.012935,0.05914,0.88172,0.05914,200,100,dp,1,186,10,1,random
20,OI,20,"2026-07-13 08:36:02",125.1,0.795397,5.45056,5.6364,0.79348485,0.00180909,1.75979,0.003142,0.06989,0.86022,0.06989,200,100,dp,1,186,10,1,random
21,IR,1,"2026-07-13 08:36:11",5.8,0.520036,2.37637,6.1515,0.58151515,-0.1095,0.243692,-0.127808,0.62069,0.12315,0.25616,200,100,dp,1,203,10,1,random
22,IR,2,"2026-07-13 08:36:16",10.6,0.533403,2.43472,5.8182,0.59984848,-0.11643939,0.279517,-0.135185,0.59896,0.11979,0.28125,200,100,dp,1,192,10,1,random
23,IR,3,"2026-07-13 08:36:21",15.5,0.541833,2.46903,5.7273,0.61045454,-0.12235757,0.272614,-0.133083,0.59259,0.12169,0.28571,200,100,dp,1,189,10,1,random
24,IR,4,"2026-07-13 08:36:26",20.3,0.5524,2.52158,5.6061,0.61909091,-0.11428485,0.280246,-0.129508,0.58919,0.11351,0.2973,200,100,dp,1,185,10,1,random
25,IR,5,"2026-07-13 08:36:31",25.2,0.560718,2.55158,5.4848,0.62666667,-0.1127697,0.286105,-0.123797,0.58011,0.12155,0.29834,200,100,dp,1,181,10,1,random
26,IR,6,"2026-07-13 08:36:36",30.1,0.569397,2.58898,5.4242,0.63742424,-0.1157303,0.303618,-0.126494,0.55307,0.13966,0.30726,200,100,dp,1,179,10,1,random
27,IR,7,"2026-07-13 08:36:42",36.6,0.577164,2.63304,5.303,0.64833334,-0.12062727,0.297754,-0.129297,0.54857,0.13714,0.31429,200,100,dp,1,175,10,1,random
28,IR,8,"2026-07-13 08:36:49",43.1,0.586242,2.67794,5.2121,0.66060606,-0.12651515,0.315169,-0.133852,0.52907,0.13953,0.3314,200,100,dp,1,172,10,1,random
29,IR,9,"2026-07-13 08:36:56",50,0.595352,2.71407,5.1515,0.66636364,-0.11844849,0.3107,-0.126124,0.52353,0.15882,0.31765,200,100,dp,1,170,10,1,random
30,IR,10,"2026-07-13 08:37:03",56.8,0.601991,2.76293,5.1212,0.67772727,-0.1243697,0.340099,-0.130284,0.50888,0.1716,0.31953,200,100,dp,1,169,10,1,random
31,IR,11,"2026-07-13 08:37:09",63.5,0.609191,2.80265,5.1212,0.68090909,-0.11430909,0.354786,-0.122741,0.50888,0.14793,0.3432,200,100,dp,1,169,10,1,random
32,IR,12,"2026-07-13 08:37:16",70.3,0.614824,2.8346,5.0606,0.68772728,-0.11752424,0.317212,-0.12213,0.50299,0.16168,0.33533,200,100,dp,1,167,10,1,random
33,IR,13,"2026-07-13 08:37:23",76.9,0.620739,2.85956,5.0606,0.69878788,-0.12845455,0.36299,-0.129464,0.49701,0.17365,0.32934,200,100,dp,1,167,10,1,random
34,IR,14,"2026-07-13 08:37:29",83.6,0.623097,2.87299,5.0303,0.70090909,-0.12485455,0.372456,-0.12565,0.49398,0.1747,0.33133,200,100,dp,1,166,10,1,random
35,IR,15,"2026-07-13 08:37:36",90.3,0.627958,2.89504,5.0303,0.70939394,-0.13020606,0.380989,-0.132509,0.51205,0.14458,0.34337,200,100,dp,1,166,10,1,random
36,IR,16,"2026-07-13 08:37:43",97,0.632164,2.9176,4.9394,0.70393939,-0.11122424,0.381962,-0.115818,0.48466,0.17178,0.34356,200,100,dp,1,163,10,1,random
37,IR,17,"2026-07-13 08:37:50",103.8,0.63683,2.94814,4.9394,0.7239394,-0.13661515,0.397955,-0.139909,0.47853,0.16564,0.35583,200,100,dp,1,163,10,1,random
38,IR,18,"2026-07-13 08:37:56",110.6,0.639948,2.97021,4.8788,0.71121212,-0.11240909,0.386153,-0.112987,0.47205,0.16149,0.36646,200,100,dp,1,161,10,1,random
39,IR,19,"2026-07-13 08:38:03",117.3,0.644609,3.00264,4.8485,0.72075757,-0.12055455,0.385813,-0.121295,0.475,0.15625,0.36875,200,100,dp,1,160,10,1,random
40,IR,20,"2026-07-13 08:38:10",124.2,0.649867,3.04161,4.7879,0.72818182,-0.11990909,0.396464,-0.124191,0.4557,0.17089,0.37342,200,100,dp,1,158,10,1,random
41,AGR,1,"2026-07-13 08:38:19",8,0.531618,2.45268,6.0606,0.49045454,0.07254242,0.258589,0.061831,0.615,0.095,0.29,200,100,dp,1,200,10,1,random
42,AGR,2,"2026-07-13 08:38:26",15.2,0.555376,2.5887,5.9091,0.51333333,0.0693697,0.262377,0.059244,0.58974,0.11282,0.29744,200,100,dp,1,195,10,1,random
43,AGR,3,"2026-07-13 08:38:33",22.4,0.576655,2.75001,5.8788,0.53363637,0.06807576,0.298109,0.061089,0.57216,0.12371,0.30412,200,100,dp,1,194,10,1,random
44,AGR,4,"2026-07-13 08:38:41",29.8,0.596164,2.9018,5.8485,0.55924242,0.05887273,0.318263,0.049625,0.55959,0.11399,0.32642,200,100,dp,1,193,10,1,random
45,AGR,5,"2026-07-13 08:38:48",37.1,0.615782,3.06021,5.8182,0.57287879,0.0638303,0.325159,0.057619,0.54167,0.11979,0.33854,200,100,dp,1,192,10,1,random
