id,strategy,gen,completed_at,elapsed_seconds,avg_he,avg_ne,avg_na,avg_ho,avg_fis,avg_oi,avg_ir,band_infr,band_norm,band_hfreq,num_breeders,num_breeding_sires,breed_suffix,replicate_num,total_alleles,litter_size,sires_per_dam,sire_mode
1,OI,1,"2026-07-15 06:58:13",5.4,0.586209,2.78735,5.0909,0.59151515,-0.01346364,0.47676,-0.033365,0.50595,0.19048,0.30357,200,100,fcr,1,168,10,1,random
2,OI,2,"2026-07-15 06:58:17",9.8,0.612227,2.98676,5.0303,0.59984848,0.01910606,0.462726,0.002475,0.4759,0.19277,0.33133,200,100,fcr,1,166,10,1,random
3,OI,3,"2026-07-15 06:58:22",14.2,0.637524,3.2045,5.0303,0.63893939,-0.00440909,0.496225,-0.018965,0.41566,0.25904,0.3253,200,100,fcr,1,166,10,1,random
4,OI,4,"2026-07-15 06:58:26",18.6,0.656224,3.39147,4.9697,0.64484848,0.01828485,0.555786,0.005283,0.35366,0.38415,0.2622,200,100,fcr,1,164,10,1,random
5,OI,5,"2026-07-15 06:58:32",24.7,0.675203,3.56736,4.9394,0.68151515,-0.00990303,0.690254,-0.021015,0.33742,0.3681,0.29448,200,100,fcr,1,163,10,1,random
6,OI,6,"2026-07-15 06:58:37",29.1,0.693276,3.78578,4.9091,0.69772727,-0.00390303,0.706793,-0.017105,0.29012,0.40741,0.30247,200,100,fcr,1,162,10,1,random
7,OI,7,"2026-07-15 06:58:43",35.3,0.705355,3.95122,4.8788,0.70787879,-0.00565455,0.709948,-0.009853,0.25466,0.50932,0.23602,200,100,fcr,1,161,10,1,random
8,OI,8,"2026-07-15 06:58:49",41.4,0.717652,4.07915,4.8788,0.72454546,-0.01000303,0.903116,-0.015804,0.21118,0.55901,0.22981,200,100,fcr,1,161,10,1,random
9,OI,9,"2026-07-15 06:58:55",47.8,0.728873,4.23309,4.8788,0.74257576,-0.01892121,0.919489,-0.02441,0.18634,0.6087,0.20497,200,100,fcr,1,161,10,1,random
10,OI,10,"2026-07-15 06:59:01",54,0.73763,4.36592,4.8788,0.745,-0.01110909,0.960679,-0.013947,0.1677,0.62733,0.20497,200,100,fcr,1,161,10,1,random
11,OI,11,"2026-07-15 06:59:08",60.3,0.7445,4.47081,4.8788,0.74212121,0.00462424,0.971533,0.000454,0.14286,0.70186,0.15528,200,100,fcr,1,161,10,1,random
12,OI,12,"2026-07-15 06:59:14",66.6,0.748955,4.56667,4.8788,0.7580303,-0.0127303,1.17836,-0.013299,0.1118,0.7764,0.1118,200,100,fcr,1,161,10,1,random
13,OI,13,"2026-07-15 06:59:20",72.8,0.752182,4.63228,4.8788,0.75666666,-0.00441515,1.31649,-0.006042,0.10559,0.79503,0.09938,200,100,fcr,1,161,10,1,random
14,OI,14,"2026-07-15 06:59:27",79.1,0.754909,4.69751,4.8788,0.74439394,0.01571515,1.5687,0.014016,0.09317,0.83851,0.06832,200,100,fcr,1,161,10,1,random
15,OI,15,"2026-07-15 06:59:33",85.5,0.75607,4.72526,4.8788,0.75257576,0.00465758,1.90341,0.006079,0.04348,0.91304,0.04348,200,100,fcr,1,161,10,1,random
16,OI,16,"2026-07-15 06:59:39",91.7,0.75683,4.74606,4.8788,0.76,-0.00496364,1.90548,-0.003005,0.07453,0.88199,0.04348,200,100,fcr,1,161,10,1,random
17,OI,17,"2026-07-15 06:59:45",98,0.757009,4.75602,4.8788,0.76015152,-0.00312727,2.863,-0.002638,0.03106,0.93789,0.03106,200,100,fcr,1,161,10,1,random
18,OI,18,"2026-07-15 06:59:52",104.3,0.758242,4.76776,4.8788,0.75636364,0.00224545,1.98164,0.00314,0.0559,0.8882,0.0559,200,100,fcr,1,161,10,1,random
19,OI,19,"2026-07-15 06:59:58",110.7,0.759073,4.77998,4.8788,0.76166667,-0.00359697,1.9466,-0.002008,0.06211,0.91304,0.02484,200,100,fcr,1,161,10,1,random
20,OI,20,"2026-07-15 07:00:05",117.6,0.759488,4.78882,4.8788,0.75954545,-0.00031212,3.09792,0.000455,0.03106,0.9441,0.02484,200,100,fcr,1,161,10,1,random
21,IR,1,"2026-07-15 07:00:15",6.1,0.566352,2.62421,4.9394,0.62893939,-0.10855152,0.425463,-0.120937,0.53374,0.18405,0.28221,200,100,fcr,1,163,10,1,random
22,IR,2,"2026-07-15 07:00:20",11,0.577509,2.6917,4.9394,0.64606061,-0.11680909,0.427962,-0.127674,0.52761,0.18405,0.28834,200,100,fcr,1,163,10,1,random
23,IR,3,"2026-07-15 07:00:25",16,0.588258,2.74381,4.9091,0.66363636,-0.12532727,0.434208,-0.137048,0.51235,0.19753,0.29012,200,100,fcr,1,162,10,1,random
24,IR,4,"2026-07-15 07:00:30",20.9,0.594403,2.78081,4.8182,0.66606061,-0.11984849,0.440852,-0.124952,0.51572,0.18239,0.30189,200,100,fcr,1,159,10,1,random
25,IR,5,"2026-07-15 07:00:37",27.5,0.600545,2.81447,4.7576,0.67227273,-0.12160303,0.441734,-0.123593,0.52229,0.17834,0.29936,200,100,fcr,1,157,10,1,random
26,IR,6,"2026-07-15 07:00:42",32.6,0.608085,2.85363,4.697,0.68333333,-0.12324243,0.473502,-0.129314,0.49032,0.1871,0.32258,200,100,fcr,1,155,10,1,random
27,IR,7,"2026-07-15 07:00:49",39.5,0.612482,2.87751,4.6667,0.69363637,-0.13455758,0.428637,-0.135645,0.47403,0.2013,0.32468,200,100,fcr,1,154,10,1,random
28,IR,8,"2026-07-15 07:00:55",46.2,0.617633,2.91124,4.6667,0.68969697,-0.11893939,0.433686,-0.119858,0.46753,0.21429,0.31818,200,100,fcr,1,154,10,1,random
