id,strategy,gen,completed_at,elapsed_seconds,avg_he,avg_ne,avg_na,avg_oi,avg_ir,band_infr,band_norm,band_hfreq,num_breeders,breed_suffix,replicate_num,total_alleles,avg_ho,avg_fis,litter_size,sires_per_dam,num_breeding_sires,sire_mode
1,OI,1,"2026-07-11 11:08:49",7.9,0.729303,4.10228,8.4242,0.371308,-0.008919,0.55036,0.1223,0.32734,200,sp,1,278,0.72681818,0.00264545,10,1,100,random
2,OI,2,"2026-07-11 11:08:54",12.8,0.748855,4.41971,8.303,0.373923,-0.010097,0.52555,0.17153,0.30292,200,sp,1,274,0.74818182,0.00226364,10,1,100,random
3,OI,3,"2026-07-11 11:08:59",17.7,0.765067,4.7118,8.2121,0.463915,-0.003673,0.47232,0.22509,0.30258,200,sp,1,271,0.76090909,0.00468182,10,1,100,random
4,OI,4,"2026-07-11 11:09:04",22.7,0.78133,5.05088,8.2121,0.511326,-0.02323,0.43911,0.25092,0.30996,200,sp,1,271,0.79287879,-0.01496061,10,1,100,random
5,OI,5,"2026-07-11 11:09:09",27.6,0.797424,5.42198,8.1818,0.557914,-0.022953,0.3963,0.2963,0.30741,200,sp,1,270,0.80893939,-0.01504848,10,1,100,random
6,OI,6,"2026-07-11 11:09:14",32.6,0.809739,5.78059,8.1818,0.61514,-0.011861,0.37407,0.3037,0.32222,200,sp,1,270,0.81454545,-0.00685152,10,1,100,random
7,OI,7,"2026-07-11 11:09:20",39.2,0.820051,6.07599,8.1818,0.62513,-0.018643,0.35185,0.34074,0.30741,200,sp,1,270,0.83166667,-0.01412121,10,1,100,random
8,OI,8,"2026-07-11 11:09:27",45.9,0.829882,6.39948,8.1212,0.6929,-0.003965,0.30224,0.36194,0.33582,200,sp,1,268,0.82954546,0.00028485,10,1,100,random
9,OI,9,"2026-07-11 11:09:34",52.6,0.836939,6.65061,8.1212,0.679659,-0.010074,0.27612,0.4291,0.29478,200,sp,1,268,0.8430303,-0.00762727,10,1,100,random
10,OI,10,"2026-07-11 11:09:41",59.5,0.842979,6.88675,8.1212,0.794251,-0.019475,0.24627,0.48881,0.26493,200,sp,1,268,0.85757576,-0.01787576,10,1,100,random
11,OI,11,"2026-07-11 11:09:48",66.5,0.848761,7.12885,8.1212,0.894538,0.000877,0.20522,0.55224,0.24254,200,sp,1,268,0.84636364,0.00281515,10,1,100,random
12,OI,12,"2026-07-11 11:09:55",73.4,0.852697,7.32323,8.1212,0.942545,0.000455,0.16045,0.67164,0.16791,200,sp,1,268,0.85151515,0.00178182,10,1,100,random
13,OI,13,"2026-07-11 11:10:01",80.3,0.855694,7.47043,8.1212,1.16651,-0.010683,0.16045,0.70149,0.13806,200,sp,1,268,0.86454545,-0.01031212,10,1,100,random
14,OI,14,"2026-07-11 11:10:09",87.8,0.858076,7.60959,8.1212,1.38883,-0.003593,0.10821,0.76493,0.12687,200,sp,1,268,0.86106061,-0.00301515,10,1,100,random
15,OI,15,"2026-07-11 11:10:16",94.9,0.860191,7.72343,8.1212,1.29456,-0.003843,0.09328,0.83209,0.07463,200,sp,1,268,0.86363636,-0.00419091,10,1,100,random
16,OI,16,"2026-07-11 11:10:23",101.7,0.861003,7.76502,8.1212,1.81143,-0.000652,0.10075,0.79104,0.10821,200,sp,1,268,0.86242424,-0.00149697,10,1,100,random
17,OI,17,"2026-07-11 11:10:30",108.7,0.862736,7.85965,8.1212,1.52555,-0.01708,0.07836,0.85821,0.06343,200,sp,1,268,0.87772727,-0.01770909,10,1,100,random
18,OI,18,"2026-07-11 11:10:37",115.5,0.862676,7.86235,8.1212,2.11513,0.001817,0.0709,0.86194,0.06716,200,sp,1,268,0.86227272,0.00014545,10,1,100,random
19,OI,19,"2026-07-11 11:10:44",122.4,0.863073,7.88281,8.1212,1.8058,-0.013931,0.0709,0.87313,0.05597,200,sp,1,268,0.87606061,-0.01523636,10,1,100,random
20,OI,20,"2026-07-11 11:10:50",129.3,0.863439,7.90121,8.1212,2.45443,0.003201,0.04104,0.89925,0.0597,200,sp,1,268,0.86166667,0.00215151,10,1,100,random
21,IR,1,"2026-07-11 11:10:59",4.8,0.71403,3.86848,8.2727,0.315495,-0.103714,0.58608,0.10256,0.31136,200,sp,1,273,0.78560607,-0.10243333,10,1,100,random
22,IR,2,"2026-07-11 11:11:03",9.2,0.717564,3.88013,8.1212,0.307381,-0.101597,0.58209,0.09328,0.32463,200,sp,1,268,0.78924242,-0.1039,10,1,100,random
23,IR,3,"2026-07-11 11:11:08",13.6,0.722818,3.95688,8,0.303512,-0.102576,0.57576,0.0947,0.32955,200,sp,1,264,0.79515152,-0.10383333,10,1,100,random
24,IR,4,"2026-07-11 11:11:12",17.9,0.727788,4.01081,7.9697,0.317552,-0.109058,0.55513,0.12928,0.31559,200,sp,1,263,0.80515151,-0.1092,10,1,100,random
25,IR,5,"2026-07-11 11:11:16",22.3,0.732248,4.08341,7.8485,0.337038,-0.099837,0.54826,0.11969,0.33205,200,sp,1,259,0.80363636,-0.09977576,10,1,100,random
26,IR,6,"2026-07-11 11:11:21",26.7,0.73627,4.15321,7.8182,0.327533,-0.102704,0.55426,0.1124,0.33333,200,sp,1,258,0.81045455,-0.10430303,10,1,100,random
