id,strategy,breed_suffix,breed_id,replicate_num,completed_at,pop_size,loci,gen0_he,gen20_he,he_delta,gen0_ho,gen20_ho,ho_delta,gen0_fis,gen20_fis,fis_delta,gen0_ne,gen20_ne,ne_delta,gen0_na,gen20_na,na_delta,gen0_total_alleles,gen20_total_alleles,total_alleles_delta,gen0_oi,gen20_oi,oi_delta,gen0_ir,gen20_ir,ir_delta,gen0_band_infr,gen20_band_infr,band_infr_delta,gen0_band_norm,gen20_band_norm,band_norm_delta,gen0_band_hfreq,gen20_band_hfreq,band_hfreq_delta
1,OI,dp,16,1,2026-07-13 08:36:02,200,33,0.5079,0.7954,0.2875,0.4811,0.7935,0.3124,0.0491,0.0018,-0.0473,2.3139,5.4506,3.1367,6.27,5.64,-0.63,207,186,-21,0.228998,1.75979,1.53079,0.055273,0.003142,-0.052131,0.63285,0.06989,-0.56296,0.101449,0.86022,0.758771,0.2657,0.06989,-0.19581
2,IR,dp,16,1,2026-07-13 08:38:10,200,33,0.5079,0.6499,0.142,0.4811,0.7282,0.2471,0.0491,-0.1199,-0.169,2.3139,3.0416,0.7277,6.27,4.79,-1.48,207,158,-49,0.228998,0.396464,0.167466,0.055273,-0.124191,-0.179464,0.63285,0.4557,-0.17715,0.101449,0.17089,0.069441,0.2657,0.37342,0.10772
3,AGR,dp,16,1,2026-07-13 08:41:05,200,33,0.5079,0.79,0.2821,0.4811,0.7391,0.258,0.0491,0.0684,0.0193,2.3139,5.4189,3.105,6.27,5.7,-0.57,207,188,-19,0.228998,1.2031,0.974102,0.055273,0.063013,0.00774,0.63285,0.12766,-0.50519,0.101449,0.78723,0.685781,0.2657,0.08511,-0.18059
4,RANDOM,dp,16,1,2026-07-13 08:43:07,200,33,0.5079,0.482,-0.0259,0.4811,0.4812,0.0001,0.0491,0.0092,-0.0399,2.3139,2.2441,-0.0698,6.27,4.42,-1.85,207,146,-61,0.228998,0.326019,0.097021,0.055273,0.003937,-0.051336,0.63285,0.55479,-0.07806,0.101449,0.15753,0.056081,0.2657,0.28767,0.02197
5,OI,dp,16,2,2026-07-13 08:48:40,200,33,0.509,0.7882,0.2792,0.5045,0.7945,0.29,0.0192,-0.0076,-0.0268,2.3378,5.3414,3.0036,6.03,5.45,-0.58,199,180,-19,0.23288,1.55717,1.32429,0.012026,-0.007727,-0.019753,0.638191,0.03333,-0.604861,0.080402,0.94444,0.864038,0.281407,0.02222,-0.259187
6,IR,dp,16,2,2026-07-13 08:50:51,200,33,0.509,0.6563,0.1473,0.5045,0.7224,0.2179,0.0192,-0.1029,-0.1221,2.3378,3.0929,0.7551,6.03,4.85,-1.18,199,160,-39,0.23288,0.436669,0.203789,0.012026,-0.10372,-0.115746,0.638191,0.43125,-0.206941,0.080402,0.23125,0.150848,0.281407,0.3375,0.056093
7,AGR,dp,16,2,2026-07-13 08:53:37,200,33,0.509,0.7779,0.2689,0.5045,0.7318,0.2273,0.0192,0.0626,0.0434,2.3378,5.23,2.8922,6.03,5.64,-0.39,199,186,-13,0.23288,1.24771,1.01483,0.012026,0.057512,0.045486,0.638191,0.12366,-0.514531,0.080402,0.76344,0.683038,0.281407,0.1129,-0.168507
8,RANDOM,dp,16,2,2026-07-13 08:55:32,200,33,0.509,0.5037,-0.0053,0.5045,0.5059,0.0014,0.0192,-0.0031,-0.0223,2.3378,2.3489,0.0111,6.03,4.39,-1.64,199,145,-54,0.23288,0.29706,0.06418,0.012026,-0.005996,-0.018022,0.638191,0.56552,-0.072671,0.080402,0.08966,0.009258,0.281407,0.34483,0.063423
9,OI,dp,16,3,2026-07-13 09:04:30,200,33,0.5026,0.7943,0.2917,0.477,0.7818,0.3048,0.045,0.0153,-0.0297,2.3033,5.5579,3.2546,6.03,5.7,-0.33,199,188,-11,0.234743,2.19911,1.96437,0.055372,0.017024,-0.038348,0.623116,0.05319,-0.569926,0.100503,0.90957,0.809067,0.276382,0.03723,-0.239152
10,IR,dp,16,3,2026-07-13 09:06:44,200,33,0.5026,0.6722,0.1696,0.477,0.7523,0.2753,0.045,-0.1215,-0.1665,2.3033,3.2861,0.9828,6.03,5,-1.03,199,165,-34,0.234743,0.461267,0.226524,0.055372,-0.123134,-0.178506,0.623116,0.44848,-0.174636,0.100503,0.20606,0.105557,0.276382,0.34545,0.069068
11,AGR,dp,16,3,2026-07-13 09:09:40,200,33,0.5026,0.7712,0.2686,0.477,0.7147,0.2377,0.045,0.0771,0.0321,2.3033,5.3407,3.0374,6.03,5.64,-0.39,199,186,-13,0.234743,1.24813,1.01339,0.055372,0.071932,0.01656,0.623116,0.12366,-0.499456,0.100503,0.79032,0.689817,0.276382,0.08602,-0.190362
12,RANDOM,dp,16,3,2026-07-13 09:11:45,200,33,0.5026,0.5081,0.0055,0.477,0.5111,0.0341,0.045,0.0013,-0.0437,2.3033,2.3285,0.0252,6.03,4.48,-1.55,199,148,-51,0.234743,0.282712,0.047969,0.055372,-0.003279,-0.058651,0.623116,0.56757,-0.055546,0.100503,0.10135,0.000847,0.276382,0.33108,0.054698
13,OI,dp,16,4,2026-07-13 09:20:29,200,33,0.5011,0.7959,0.2948,0.4847,0.7948,0.3101,0.034,0.0031,-0.0309,2.304,5.3105,3.0065,5.88,5.45,-0.43,194,180,-14,0.215004,1.87677,1.66177,0.035566,0.002499,-0.033067,0.623711,0.05556,-0.568151,0.087629,0.90556,0.817931,0.28866,0.03889,-0.24977
14,IR,dp,16,4,2026-07-13 09:22:36,200,33,0.5011,0.6256,0.1245,0.4847,0.7045,0.2198,0.034,-0.1272,-0.1612,2.304,2.8466,0.5426,5.88,4.42,-1.46,194,146,-48,0.215004,0.387142,0.172138,0.035566,-0.130526,-0.166092,0.623711,0.45205,-0.171661,0.087629,0.19178,0.104151,0.28866,0.35616,0.0675
15,AGR,dp,16,4,2026-07-13 09:25:42,200,33,0.5011,0.7777,0.2766,0.4847,0.7255,0.2408,0.034,0.0684,0.0344,2.304,5.117,2.813,5.88,5.45,-0.43,194,180,-14,0.215004,1.02621,0.811206,0.035566,0.065504,0.029938,0.623711,0.12778,-0.495931,0.087629,0.76667,0.679041,0.28866,0.10556,-0.1831
16,RANDOM,dp,16,4,2026-07-13 09:27:40,200,33,0.5011,0.4688,-0.0323,0.4847,0.4671,-0.0176,0.034,0.0072,-0.0268,2.304,2.1683,-0.1357,5.88,4.21,-1.67,194,139,-55,0.215004,0.322392,0.107388,0.035566,0.009175,-0.026391,0.623711,0.56835,-0.055361,0.087629,0.11511,0.027481,0.28866,0.31655,0.02789
