id,strategy,breed_suffix,breed_id,replicate_num,completed_at,pop_size,loci,gen0_he,gen20_he,he_delta,gen0_ho,gen20_ho,ho_delta,gen0_fis,gen20_fis,fis_delta,gen0_ne,gen20_ne,ne_delta,gen0_na,gen20_na,na_delta,gen0_total_alleles,gen20_total_alleles,total_alleles_delta,gen0_oi,gen20_oi,oi_delta,gen0_ir,gen20_ir,ir_delta,gen0_band_infr,gen20_band_infr,band_infr_delta,gen0_band_norm,gen20_band_norm,band_norm_delta,gen0_band_hfreq,gen20_band_hfreq,band_hfreq_delta
1,OI,fcr,15,1,2026-07-15 07:00:05,200,33,0.554,0.7595,0.2055,0.5576,0.7595,0.2019,-0.0095,-0.0003,0.0092,2.5648,4.7888,2.224,5.12,4.88,-0.24,169,161,-8,0.405599,3.09792,2.69232,-0.004419,0.000455,0.004874,0.538462,0.03106,-0.507402,0.201183,0.9441,0.742917,0.260355,0.02484,-0.235515
2,IR,fcr,15,1,2026-07-15 07:02:18,200,33,0.554,0.6681,0.1141,0.5576,0.7458,0.1882,-0.0095,-0.1211,-0.1116,2.5648,3.2453,0.6805,5.12,4.52,-0.6,169,149,-20,0.405599,0.533058,0.127459,-0.004419,-0.117521,-0.113102,0.538462,0.38255,-0.155912,0.201183,0.28859,0.087407,0.260355,0.32886,0.068505
3,AGR,fcr,15,1,2026-07-15 07:05:07,200,33,0.554,0.7458,0.1918,0.5576,0.6915,0.1339,-0.0095,0.0737,0.0832,2.5648,4.7033,2.1385,5.12,4.85,-0.27,169,160,-9,0.405599,1.52332,1.11772,-0.004419,0.07252,0.076939,0.538462,0.03125,-0.507212,0.201183,0.9375,0.736317,0.260355,0.03125,-0.229105
4,RANDOM,fcr,15,1,2026-07-15 07:07:04,200,33,0.554,0.5368,-0.0172,0.5576,0.5295,-0.0281,-0.0095,0.0106,0.0201,2.5648,2.4671,-0.0977,5.12,4.36,-0.76,169,144,-25,0.405599,0.388313,-0.017286,-0.004419,0.01769,0.022109,0.538462,0.53472,-0.003742,0.201183,0.15278,-0.048403,0.260355,0.3125,0.052145
5,OI,fcr,15,2,2026-07-15 07:10:34,200,33,0.5542,0.7555,0.2013,0.5573,0.7691,0.2118,-0.0017,-0.016,-0.0143,2.5539,4.7454,2.1915,5.03,4.82,-0.21,166,159,-7,0.390812,1.99045,1.59964,-0.003033,-0.016619,-0.013586,0.560241,0.00629,-0.553951,0.156627,0.95597,0.799343,0.283133,0.03774,-0.245393
6,IR,fcr,15,2,2026-07-15 07:12:38,200,33,0.5542,0.666,0.1118,0.5573,0.7392,0.1819,-0.0017,-0.1152,-0.1135,2.5539,3.2744,0.7205,5.03,4.58,-0.45,166,151,-15,0.390812,0.515152,0.12434,-0.003033,-0.110084,-0.107051,0.560241,0.39073,-0.169511,0.156627,0.2649,0.108273,0.283133,0.34437,0.061237
7,AGR,fcr,15,2,2026-07-15 07:15:23,200,33,0.5542,0.7441,0.1899,0.5573,0.6826,0.1253,-0.0017,0.0862,0.0879,2.5539,4.6593,2.1054,5.03,4.79,-0.24,166,158,-8,0.390812,1.6406,1.24979,-0.003033,0.08196,0.084993,0.560241,0.03165,-0.528591,0.156627,0.93038,0.773753,0.283133,0.03797,-0.245163
8,RANDOM,fcr,15,2,2026-07-15 07:17:21,200,33,0.5542,0.5429,-0.0113,0.5573,0.5391,-0.0182,-0.0017,0.0105,0.0122,2.5539,2.5229,-0.031,5.03,4.3,-0.73,166,142,-24,0.390812,0.49716,0.106348,-0.003033,0.012316,0.015349,0.560241,0.51408,-0.046161,0.156627,0.20423,0.047603,0.283133,0.28169,-0.001443
9,OI,fcr,15,3,2026-07-15 07:19:26,200,33,0.5529,0.7554,0.2025,0.5558,0.7621,0.2063,-0.0069,-0.0067,0.0002,2.5675,4.7154,2.1479,4.94,4.82,-0.12,163,159,-4,0.379196,1.77619,1.39699,-0.002863,-0.007068,-0.004205,0.527607,0.0566,-0.471007,0.184049,0.90566,0.721611,0.288344,0.03774,-0.250604
10,IR,fcr,15,3,2026-07-15 07:21:35,200,33,0.5529,0.6516,0.0987,0.5558,0.7335,0.1777,-0.0069,-0.1294,-0.1225,2.5675,3.1672,0.5997,4.94,4.3,-0.64,163,142,-21,0.379196,0.547273,0.168077,-0.002863,-0.123181,-0.120318,0.527607,0.38732,-0.140287,0.184049,0.26761,0.083561,0.288344,0.34507,0.056726
11,AGR,fcr,15,3,2026-07-15 07:24:19,200,33,0.5529,0.7477,0.1948,0.5558,0.6877,0.1319,-0.0069,0.0842,0.0911,2.5675,4.6477,2.0802,4.94,4.79,-0.15,163,158,-5,0.379196,1.57975,1.20055,-0.002863,0.079365,0.082228,0.527607,0.07595,-0.451657,0.184049,0.86709,0.683041,0.288344,0.05696,-0.231384
12,RANDOM,fcr,15,3,2026-07-15 07:26:21,200,33,0.5529,0.5326,-0.0203,0.5558,0.5464,-0.0094,-0.0069,-0.0223,-0.0154,2.5675,2.4875,-0.08,4.94,4.27,-0.67,163,141,-22,0.379196,0.436475,0.057279,-0.002863,-0.024221,-0.021358,0.527607,0.53191,0.004303,0.184049,0.16312,-0.020929,0.288344,0.30496,0.016616
13,OI,fcr,15,4,2026-07-15 07:28:59,200,33,0.5524,0.7606,0.2082,0.5527,0.7659,0.2132,0.004,-0.0084,-0.0124,2.5546,4.8572,2.3026,5,4.94,-0.06,165,163,-2,0.392511,1.98553,1.59302,0.001469,-0.005578,-0.007047,0.545455,0.03067,-0.514785,0.175758,0.95706,0.781302,0.278788,0.01227,-0.266518
14,IR,fcr,15,4,2026-07-15 07:31:12,200,33,0.5524,0.6557,0.1033,0.5527,0.7318,0.1791,0.004,-0.1185,-0.1225,2.5546,3.1894,0.6348,5,4.42,-0.58,165,146,-19,0.392511,0.541076,0.148565,0.001469,-0.117625,-0.119094,0.545455,0.39041,-0.155045,0.175758,0.26712,0.091362,0.278788,0.34247,0.063682
15,AGR,fcr,15,4,2026-07-15 07:34:11,200,33,0.5524,0.7468,0.1944,0.5527,0.6861,0.1334,0.004,0.0859,0.0819,2.5546,4.5841,2.0295,5,4.67,-0.33,165,154,-11,0.392511,1.91991,1.5274,0.001469,0.081354,0.079885,0.545455,0.01948,-0.525975,0.175758,0.96104,0.785282,0.278788,0.01948,-0.259308
16,RANDOM,fcr,15,4,2026-07-15 07:36:07,200,33,0.5524,0.536,-0.0164,0.5527,0.5324,-0.0203,0.004,0.0048,0.0008,2.5546,2.4647,-0.0899,5,4.15,-0.85,165,137,-28,0.392511,0.447532,0.055021,0.001469,0.011273,0.009804,0.545455,0.52555,-0.019905,0.175758,0.17518,-0.000578,0.278788,0.29927,0.020482
17,OI,fcr,15,5,2026-07-15 07:38:20,200,33,0.548,0.7568,0.2088,0.5552,0.7458,0.1906,-0.0081,0.0164,0.0245,2.532,4.7851,2.2531,5.09,4.88,-0.21,168,161,-7,0.362577,1.43614,1.07356,-0.010749,0.016341,0.02709,0.547619,0.04348,-0.504139,0.166667,0.91925,0.752583,0.285714,0.03727,-0.248444
18,IR,fcr,15,5,2026-07-15 07:40:23,200,33,0.548,0.6453,0.0973,0.5552,0.72,0.1648,-0.0081,-0.1195,-0.1114,2.532,3.189,0.657,5.09,4.3,-0.79,168,142,-26,0.362577,0.656686,0.294109,-0.010749,-0.115896,-0.105147,0.547619,0.35915,-0.188469,0.166667,0.35211,0.185443,0.285714,0.28873,0.003016
19,AGR,fcr,15,5,2026-07-15 07:43:21,200,33,0.548,0.7439,0.1959,0.5552,0.6827,0.1275,-0.0081,0.0856,0.0937,2.532,4.6896,2.1576,5.09,4.88,-0.21,168,161,-7,0.362577,1.27576,0.913183,-0.010749,0.081386,0.092135,0.547619,0.04348,-0.504139,0.166667,0.87578,0.709113,0.285714,0.08075,-0.204964
20,RANDOM,fcr,15,5,2026-07-15 07:45:18,200,33,0.548,0.5263,-0.0217,0.5552,0.5247,-0.0305,-0.0081,0.0078,0.0159,2.532,2.4454,-0.0866,5.09,4.12,-0.97,168,136,-32,0.362577,0.394555,0.031978,-0.010749,0.008609,0.019358,0.547619,0.48529,-0.062329,0.166667,0.22059,0.053923,0.285714,0.29412,0.008406
21,OI,fcr,15,6,2026-07-16 00:02:32,200,33,0.5516,0.7594,0.2078,0.557,0.7641,0.2071,-0.006,-0.0065,-0.0005,2.5464,4.7537,2.2073,5.06,4.85,-0.21,167,160,-7,0.386481,2.10217,1.71569,-0.00779,-0.004854,0.002936,0.568862,0.025,-0.543862,0.149701,0.9375,0.787799,0.281437,0.0375,-0.243937
22,IR,fcr,15,6,2026-07-16 00:04:40,200,33,0.5516,0.655,0.1034,0.557,0.7288,0.1718,-0.006,-0.1169,-0.1109,2.5464,3.2113,0.6649,5.06,4.3,-0.76,167,142,-25,0.386481,0.554103,0.167622,-0.00779,-0.114942,-0.107152,0.568862,0.35211,-0.216752,0.149701,0.30986,0.160159,0.281437,0.33803,0.056593
23,AGR,fcr,15,6,2026-07-16 00:07:44,200,33,0.5516,0.7577,0.2061,0.557,0.6988,0.1418,-0.006,0.0799,0.0859,2.5464,4.751,2.2046,5.06,4.85,-0.21,167,160,-7,0.386481,1.40063,1.01415,-0.00779,0.07748,0.08527,0.568862,0.05625,-0.512612,0.149701,0.9125,0.762799,0.281437,0.03125,-0.250187
24,RANDOM,fcr,15,6,2026-07-16 00:09:43,200,33,0.5516,0.5413,-0.0103,0.557,0.543,-0.014,-0.006,-0.0046,0.0014,2.5464,2.506,-0.0404,5.06,4.3,-0.76,167,142,-25,0.386481,0.412576,0.026095,-0.00779,-0.00032,0.00747,0.568862,0.54225,-0.026612,0.149701,0.14789,-0.001811,0.281437,0.30986,0.028423
25,OI,fcr,15,7,2026-07-16 00:12:09,200,33,0.5509,0.7597,0.2088,0.5511,0.7564,0.2053,0.0103,0.0057,-0.0046,2.5554,4.8227,2.2673,5.09,4.91,-0.18,168,162,-6,0.365056,1.96941,1.60435,0.002058,0.0054,0.003342,0.565476,0.03086,-0.534616,0.142857,0.9321,0.789243,0.291667,0.03704,-0.254627
26,IR,fcr,15,7,2026-07-16 00:14:19,200,33,0.5509,0.6557,0.1048,0.5511,0.7332,0.1821,0.0103,-0.1224,-0.1327,2.5554,3.1635,0.6081,5.09,4.48,-0.61,168,148,-20,0.365056,0.605257,0.240201,0.002058,-0.119519,-0.121577,0.565476,0.39189,-0.173586,0.142857,0.32432,0.181463,0.291667,0.28378,-0.007887
27,AGR,fcr,15,7,2026-07-16 00:17:17,200,33,0.5509,0.7544,0.2035,0.5511,0.7083,0.1572,0.0103,0.0654,0.0551,2.5554,4.8166,2.2612,5.09,4.94,-0.15,168,163,-5,0.365056,1.42579,1.06073,0.002058,0.060692,0.058634,0.565476,0.06135,-0.504126,0.142857,0.86503,0.722173,0.291667,0.07362,-0.218047
28,RANDOM,fcr,15,7,2026-07-16 00:19:20,200,33,0.5509,0.5483,-0.0026,0.5511,0.5503,-0.0008,0.0103,-0.0075,-0.0178,2.5554,2.5747,0.0193,5.09,4.27,-0.82,168,141,-27,0.365056,0.417157,0.052101,0.002058,-0.003186,-0.005244,0.565476,0.48936,-0.076116,0.142857,0.20567,0.062813,0.291667,0.30496,0.013293
29,OI,fcr,15,8,2026-07-16 00:21:51,200,33,0.5541,0.7656,0.2115,0.5633,0.7723,0.209,-0.0186,-0.0076,0.011,2.5711,4.945,2.3739,5.12,5.03,-0.09,169,166,-3,0.376719,2.47996,2.10324,-0.015099,-0.007229,0.00787,0.544379,0.0241,-0.520279,0.171598,0.95181,0.780212,0.284024,0.0241,-0.259924
30,IR,fcr,15,8,2026-07-16 00:24:00,200,33,0.5541,0.6601,0.106,0.5633,0.748,0.1847,-0.0186,-0.1386,-0.12,2.5711,3.2123,0.6412,5.12,4.55,-0.57,169,150,-19,0.376719,0.52006,0.143341,-0.015099,-0.134157,-0.119058,0.544379,0.40667,-0.137709,0.171598,0.25333,0.081732,0.284024,0.34,0.055976
31,AGR,fcr,15,8,2026-07-16 00:27:07,200,33,0.5541,0.7514,0.1973,0.5633,0.6917,0.1284,-0.0186,0.0837,0.1023,2.5711,4.7069,2.1358,5.12,4.85,-0.27,169,160,-9,0.376719,1.44877,1.07205,-0.015099,0.078798,0.093897,0.544379,0.0625,-0.481879,0.171598,0.875,0.703402,0.284024,0.0625,-0.221524
32,RANDOM,fcr,15,8,2026-07-16 00:29:14,200,33,0.5541,0.5248,-0.0293,0.5633,0.5327,-0.0306,-0.0186,-0.0099,0.0087,2.5711,2.4014,-0.1697,5.12,4.18,-0.94,169,138,-31,0.376719,0.448459,0.07174,-0.015099,-0.008984,0.006115,0.544379,0.52174,-0.022639,0.171598,0.17391,0.002312,0.284024,0.30435,0.020326
33,OI,fcr,15,9,2026-07-16 00:31:43,200,33,0.5539,0.7562,0.2023,0.557,0.7518,0.1948,-0.0016,0.0067,0.0083,2.5551,4.8419,2.2868,5.06,4.94,-0.12,167,163,-4,0.390865,2.27872,1.88786,-0.003385,0.007054,0.010439,0.526946,0.04294,-0.484006,0.203593,0.93252,0.728927,0.269461,0.02454,-0.244921
34,IR,fcr,15,9,2026-07-16 00:33:49,200,33,0.5539,0.6604,0.1065,0.557,0.7427,0.1857,-0.0016,-0.1276,-0.126,2.5551,3.1973,0.6422,5.06,4.55,-0.51,167,150,-17,0.390865,0.571685,0.18082,-0.003385,-0.125551,-0.122166,0.526946,0.42,-0.106946,0.203593,0.26667,0.063077,0.269461,0.31333,0.043869
35,AGR,fcr,15,9,2026-07-16 00:36:51,200,33,0.5539,0.7512,0.1973,0.557,0.6895,0.1325,-0.0016,0.0855,0.0871,2.5551,4.7163,2.1612,5.06,4.85,-0.21,167,160,-7,0.390865,1.75364,1.36277,-0.003385,0.081641,0.085026,0.526946,0.08125,-0.445696,0.203593,0.88125,0.677657,0.269461,0.0375,-0.231961
36,RANDOM,fcr,15,9,2026-07-16 00:38:59,200,33,0.5539,0.5459,-0.008,0.557,0.5565,-0.0005,-0.0016,-0.0197,-0.0181,2.5551,2.4867,-0.0684,5.06,4.24,-0.82,167,140,-27,0.390865,0.443664,0.052799,-0.003385,-0.016896,-0.013511,0.526946,0.51429,-0.012656,0.203593,0.18571,-0.017883,0.269461,0.3,0.030539
37,OI,fcr,15,10,2026-07-16 00:41:26,200,33,0.5531,0.7598,0.2067,0.5555,0.757,0.2015,-0.0054,0.002,0.0074,2.5621,4.7813,2.2192,5.09,4.88,-0.21,168,161,-7,0.402104,2.16879,1.76669,-0.001767,0.004766,0.006533,0.547619,0.03106,-0.516559,0.184524,0.93789,0.753366,0.267857,0.03106,-0.236797
38,IR,fcr,15,10,2026-07-16 00:43:33,200,33,0.5531,0.6615,0.1084,0.5555,0.7324,0.1769,-0.0054,-0.1094,-0.104,2.5621,3.1857,0.6236,5.09,4.42,-0.67,168,146,-22,0.402104,0.608083,0.205979,-0.001767,-0.109478,-0.107711,0.547619,0.39726,-0.150359,0.184524,0.26712,0.082596,0.267857,0.33562,0.067763
39,AGR,fcr,15,10,2026-07-16 00:46:35,200,33,0.5531,0.7478,0.1947,0.5555,0.6895,0.134,-0.0054,0.0826,0.088,2.5621,4.6795,2.1174,5.09,4.82,-0.27,168,159,-9,0.402104,1.39205,0.989946,-0.001767,0.076978,0.078745,0.547619,0.06918,-0.478439,0.184524,0.8805,0.695976,0.267857,0.05031,-0.217547
40,RANDOM,fcr,15,10,2026-07-16 00:48:45,200,33,0.5531,0.5421,-0.011,0.5555,0.5371,-0.0184,-0.0054,0.0119,0.0173,2.5621,2.4977,-0.0644,5.09,4.39,-0.7,168,145,-23,0.402104,0.456734,0.05463,-0.001767,0.01202,0.013787,0.547619,0.50345,-0.044169,0.184524,0.2,0.015476,0.267857,0.29655,0.028693
41,OI,fcr,15,11,2026-07-16 00:55:05,200,33,0.5534,0.7579,0.2045,0.5585,0.7591,0.2006,-0.0086,0.0001,0.0087,2.5584,4.7263,2.1679,5.03,4.82,-0.21,166,159,-7,0.390223,1.59936,1.20914,-0.006917,0.000568,0.007485,0.536145,0.01258,-0.523565,0.186747,0.93082,0.744073,0.277108,0.0566,-0.220508
