id,strategy,breed_suffix,breed_id,replicate_num,completed_at,pop_size,loci,gen0_he,gen20_he,he_delta,gen0_ho,gen20_ho,ho_delta,gen0_fis,gen20_fis,fis_delta,gen0_ne,gen20_ne,ne_delta,gen0_na,gen20_na,na_delta,gen0_total_alleles,gen20_total_alleles,total_alleles_delta,gen0_oi,gen20_oi,oi_delta,gen0_ir,gen20_ir,ir_delta,gen0_band_infr,gen20_band_infr,band_infr_delta,gen0_band_norm,gen20_band_norm,band_norm_delta,gen0_band_hfreq,gen20_band_hfreq,band_hfreq_delta
1,OI,sp,8,1,2026-07-11 11:10:50,200,33,0.7073,0.8634,0.1561,0.6947,0.8617,0.167,0.0191,0.0022,-0.0169,3.8089,7.9012,4.0923,8.48,8.12,-0.36,280,268,-12,0.308353,2.45443,2.14608,0.019143,0.003201,-0.015942,0.596429,0.04104,-0.555389,0.1,0.89925,0.79925,0.303571,0.0597,-0.243871
2,IR,sp,8,1,2026-07-11 11:12:48,200,33,0.7073,0.7613,0.054,0.6947,0.8302,0.1355,0.0191,-0.0916,-0.1107,3.8089,4.4717,0.6628,8.48,6.94,-1.54,280,229,-51,0.308353,0.377465,0.069112,0.019143,-0.090601,-0.109744,0.596429,0.46288,-0.133549,0.1,0.16157,0.06157,0.303571,0.37555,0.071979
3,AGR,sp,8,1,2026-07-11 11:15:42,200,33,0.7073,0.8652,0.1579,0.6947,0.8242,0.1295,0.0191,0.0484,0.0293,3.8089,8.0568,4.2479,8.48,8.18,-0.3,280,270,-10,0.308353,1.65637,1.34802,0.019143,0.048043,0.0289,0.596429,0.02593,-0.570499,0.1,0.95185,0.85185,0.303571,0.02222,-0.281351
4,RANDOM,sp,8,1,2026-07-11 11:17:40,200,33,0.7073,0.698,-0.0093,0.6947,0.6998,0.0051,0.0191,-0.0023,-0.0214,3.8089,3.656,-0.1529,8.48,6.55,-1.93,280,216,-64,0.308353,0.385236,0.076883,0.019143,-0.002667,-0.02181,0.596429,0.53241,-0.064019,0.1,0.14815,0.04815,0.303571,0.31944,0.015869
5,OI,sp,8,2,2026-07-11 11:22:39,200,33,0.7018,0.8615,0.1597,0.687,0.8612,0.1742,0.0224,0.0006,-0.0218,3.7335,7.8455,4.112,8.42,8.06,-0.36,278,266,-12,0.283999,2.51564,2.23164,0.022615,0.001301,-0.021314,0.600719,0.06767,-0.533049,0.086331,0.86466,0.778329,0.31295,0.06767,-0.24528
6,IR,sp,8,2,2026-07-11 11:24:37,200,33,0.7018,0.7642,0.0624,0.687,0.8385,0.1515,0.0224,-0.0979,-0.1203,3.7335,4.5116,0.7781,8.42,7.18,-1.24,278,237,-41,0.283999,0.436846,0.152847,0.022615,-0.096416,-0.119031,0.600719,0.46835,-0.132369,0.086331,0.19409,0.107759,0.31295,0.33755,0.0246
7,AGR,sp,8,2,2026-07-11 11:27:42,200,33,0.7018,0.8627,0.1609,0.687,0.8239,0.1369,0.0224,0.0455,0.0231,3.7335,7.9452,4.2117,8.42,8.09,-0.33,278,267,-11,0.283999,2.06526,1.78126,0.022615,0.0455,0.022885,0.600719,0.03371,-0.567009,0.086331,0.93633,0.849999,0.31295,0.02996,-0.28299
8,RANDOM,sp,8,2,2026-07-11 11:29:43,200,33,0.7018,0.6707,-0.0311,0.687,0.6741,-0.0129,0.0224,-0.005,-0.0274,3.7335,3.3838,-0.3497,8.42,6.52,-1.9,278,215,-63,0.283999,0.320613,0.036614,0.022615,-0.001635,-0.02425,0.600719,0.54419,-0.056529,0.086331,0.13488,0.048549,0.31295,0.32093,0.00798
9,OI,sp,8,3,2026-07-11 11:33:23,200,33,0.707,0.8613,0.1543,0.693,0.8565,0.1635,0.021,0.0056,-0.0154,3.845,7.8368,3.9918,8.21,8.03,-0.18,271,265,-6,0.305859,1.83887,1.53301,0.020828,0.00638,-0.014448,0.590406,0.03774,-0.552666,0.088561,0.91321,0.824649,0.321033,0.04906,-0.271973
10,IR,sp,8,3,2026-07-11 11:35:33,200,33,0.707,0.7691,0.0621,0.693,0.8456,0.1526,0.021,-0.1011,-0.1221,3.845,4.6143,0.7693,8.21,7.18,-1.03,271,237,-34,0.305859,0.419848,0.113989,0.020828,-0.098582,-0.11941,0.590406,0.46414,-0.126266,0.088561,0.17722,0.088659,0.321033,0.35865,0.037617
11,AGR,sp,8,3,2026-07-11 11:38:40,200,33,0.707,0.861,0.154,0.693,0.8211,0.1281,0.021,0.0471,0.0261,3.845,7.949,4.104,8.21,8.06,-0.15,271,266,-5,0.305859,1.43958,1.13372,0.020828,0.04701,0.026182,0.590406,0.01504,-0.575366,0.088561,0.97368,0.885119,0.321033,0.01128,-0.309753
12,RANDOM,sp,8,3,2026-07-11 11:40:41,200,33,0.707,0.6789,-0.0281,0.693,0.6774,-0.0156,0.021,0.0026,-0.0184,3.845,3.606,-0.239,8.21,6.79,-1.42,271,224,-47,0.305859,0.361571,0.055712,0.020828,0.004319,-0.016509,0.590406,0.54911,-0.041296,0.088561,0.13393,0.045369,0.321033,0.31696,-0.004073
13,OI,sp,8,4,2026-07-11 11:44:48,200,33,0.7069,0.8577,0.1508,0.7061,0.8612,0.1551,0.0011,-0.0038,-0.0049,3.7756,7.6457,3.8701,8.12,7.82,-0.3,268,258,-10,0.307294,1.48765,1.18036,0.002028,-0.002808,-0.004836,0.585821,0.04264,-0.543181,0.104478,0.8876,0.783122,0.309701,0.06977,-0.239931
14,IR,sp,8,4,2026-07-11 11:46:58,200,33,0.7069,0.7634,0.0565,0.7061,0.8295,0.1234,0.0011,-0.088,-0.0891,3.7756,4.5395,0.7639,8.12,6.82,-1.3,268,225,-43,0.307294,0.458245,0.150951,0.002028,-0.085036,-0.087064,0.585821,0.43556,-0.150261,0.104478,0.21333,0.108852,0.309701,0.35111,0.041409
15,AGR,sp,8,4,2026-07-11 11:50:00,200,33,0.7069,0.8571,0.1502,0.7061,0.8135,0.1074,0.0011,0.0519,0.0508,3.7756,7.612,3.8364,8.12,7.73,-0.39,268,255,-13,0.307294,1.51071,1.20342,0.002028,0.051705,0.049677,0.585821,0.01176,-0.574061,0.104478,0.96471,0.860232,0.309701,0.02353,-0.286171
16,RANDOM,sp,8,4,2026-07-11 11:52:04,200,33,0.7069,0.6952,-0.0117,0.7061,0.7042,-0.0019,0.0011,-0.0138,-0.0149,3.7756,3.5759,-0.1997,8.12,6.7,-1.42,268,221,-47,0.307294,0.369121,0.061827,0.002028,-0.010945,-0.012973,0.585821,0.53846,-0.047361,0.104478,0.15837,0.053892,0.309701,0.30317,-0.006531
17,OI,sp,8,5,2026-07-11 11:56:07,200,33,0.7087,0.8658,0.1571,0.6958,0.8658,0.17,0.0188,-0.0001,-0.0189,3.8162,7.9741,4.1579,8.39,8.21,-0.18,277,271,-6,0.283525,1.5212,1.23767,0.019465,0.001009,-0.018456,0.584838,0.06642,-0.518418,0.093863,0.88192,0.788057,0.3213,0.05166,-0.26964
18,IR,sp,8,5,2026-07-11 11:58:14,200,33,0.7087,0.7716,0.0629,0.6958,0.8433,0.1475,0.0188,-0.0941,-0.1129,3.8162,4.6704,0.8542,8.39,7.12,-1.27,277,235,-42,0.283525,0.413219,0.129694,0.019465,-0.093327,-0.112792,0.584838,0.48511,-0.099728,0.093863,0.14468,0.050817,0.3213,0.37021,0.04891
19,AGR,sp,8,5,2026-07-11 12:01:22,200,33,0.7087,0.863,0.1543,0.6958,0.8283,0.1325,0.0188,0.0409,0.0221,3.8162,7.9659,4.1497,8.39,8.12,-0.27,277,268,-9,0.283525,2.06209,1.77857,0.019465,0.040578,0.021113,0.584838,0.02612,-0.558718,0.093863,0.94776,0.853897,0.3213,0.02612,-0.29518
20,RANDOM,sp,8,5,2026-07-11 12:03:23,200,33,0.7087,0.6753,-0.0334,0.6958,0.6897,-0.0061,0.0188,-0.0197,-0.0385,3.8162,3.39,-0.4262,8.39,6.82,-1.57,277,225,-52,0.283525,0.39444,0.110915,0.019465,-0.018525,-0.03799,0.584838,0.53778,-0.047058,0.093863,0.18667,0.092807,0.3213,0.27556,-0.04574
21,OI,sp,8,6,2026-07-11 12:06:54,200,33,0.7039,0.8613,0.1574,0.6992,0.8667,0.1675,0.0087,-0.0068,-0.0155,3.8083,7.8329,4.0246,8.36,8.06,-0.3,276,266,-10,0.290853,1.49274,1.20189,0.008135,-0.004838,-0.012973,0.597826,0.06767,-0.530156,0.09058,0.84586,0.75528,0.311594,0.08647,-0.225124
22,IR,sp,8,6,2026-07-11 12:08:53,200,33,0.7039,0.7639,0.06,0.6992,0.8409,0.1417,0.0087,-0.1034,-0.1121,3.8083,4.5448,0.7365,8.36,6.79,-1.57,276,224,-52,0.290853,0.504364,0.213511,0.008135,-0.101508,-0.109643,0.597826,0.45089,-0.146936,0.09058,0.20089,0.11031,0.311594,0.34821,0.036616
23,AGR,sp,8,6,2026-07-11 12:11:51,200,33,0.7039,0.8578,0.1539,0.6992,0.8148,0.1156,0.0087,0.0508,0.0421,3.8083,7.7168,3.9085,8.36,7.88,-0.48,276,260,-16,0.290853,2.05491,1.76406,0.008135,0.051083,0.042948,0.597826,0.04231,-0.555516,0.09058,0.91923,0.82865,0.311594,0.03846,-0.273134
24,RANDOM,sp,8,6,2026-07-11 12:13:50,200,33,0.7039,0.6819,-0.022,0.6992,0.6862,-0.013,0.0087,-0.0063,-0.015,3.8083,3.5086,-0.2997,8.36,6.55,-1.81,276,216,-60,0.290853,0.408147,0.117294,0.008135,-0.002446,-0.010581,0.597826,0.5463,-0.051526,0.09058,0.14352,0.05294,0.311594,0.31019,-0.001404
25,OI,sp,8,7,2026-07-11 12:16:56,200,33,0.6987,0.8593,0.1606,0.6912,0.8645,0.1733,0.0105,-0.0057,-0.0162,3.7394,7.7425,4.0031,8.39,7.91,-0.48,277,261,-16,0.320079,1.30593,0.985851,0.012677,-0.005251,-0.017928,0.606498,0.04215,-0.564348,0.097473,0.91954,0.822067,0.296029,0.03831,-0.257719
26,IR,sp,8,7,2026-07-11 12:19:07,200,33,0.6987,0.7678,0.0691,0.6912,0.8333,0.1421,0.0105,-0.0883,-0.0988,3.7394,4.6831,0.9437,8.39,7.09,-1.3,277,234,-43,0.320079,0.427829,0.10775,0.012677,-0.085724,-0.098401,0.606498,0.45726,-0.149238,0.097473,0.19658,0.099107,0.296029,0.34615,0.050121
27,AGR,sp,8,7,2026-07-11 12:22:04,200,33,0.6987,0.8594,0.1607,0.6912,0.8161,0.1249,0.0105,0.0517,0.0412,3.7394,7.8336,4.0942,8.39,7.94,-0.45,277,262,-15,0.320079,1.80833,1.48825,0.012677,0.050862,0.038185,0.606498,0.0229,-0.583598,0.097473,0.97328,0.875807,0.296029,0.00382,-0.292209
28,RANDOM,sp,8,7,2026-07-11 12:23:59,200,33,0.6987,0.6852,-0.0135,0.6912,0.6818,-0.0094,0.0105,0.0039,-0.0066,3.7394,3.6252,-0.1142,8.39,6.79,-1.6,277,224,-53,0.320079,0.37146,0.051381,0.012677,0.00559,-0.007087,0.606498,0.53125,-0.075248,0.097473,0.15179,0.054317,0.296029,0.31696,0.020931
29,OI,sp,8,8,2026-07-11 12:26:51,200,33,0.7131,0.8634,0.1503,0.6921,0.868,0.1759,0.0302,-0.0053,-0.0355,3.8443,7.8563,4.012,8.42,8.06,-0.36,278,266,-12,0.27438,2.42934,2.15496,0.030591,-0.004232,-0.034823,0.589928,0.04511,-0.544818,0.082734,0.8985,0.815766,0.327338,0.05639,-0.270948
30,IR,sp,8,8,2026-07-11 12:28:53,200,33,0.7131,0.7642,0.0511,0.6921,0.8341,0.142,0.0302,-0.0936,-0.1238,3.8443,4.5158,0.6715,8.42,7.06,-1.36,278,233,-45,0.27438,0.384109,0.109729,0.030591,-0.090656,-0.121247,0.589928,0.4721,-0.117828,0.082734,0.15021,0.067476,0.327338,0.37768,0.050342
